Category,thread_id,post_id,title,author,time,content,nesting_level,is_first_post,page_num,url
divorce,1,1,Divorce documentary seeks Christians,AttackOnMarriage,2025/4/11 11:16,"reply to this post rate flag Divorce documentary seeks Christians < AttackOnMarriage > 2025-04-11 11:16 Divorce documentary seeks Christian who would be willing to share how they have dealt with the trauma of divorce. If you are interested in learning more reply to this post. This documentary project plans to feature 3-4 victims of unwanted divorce and learn about their struggle as well as how they are coping with the loss of the marriage and all the factors involved. Looking for personal testimonies, nothing fabricated, no spouse bashing, how faith in Jesus Christ has been helpful. Finished documentary will be presented to each participant as payment. The plan is to show documentary to small church groups to help other victims of unwanted divorce process and heal. Thank you for your interest in reading this far. https://forums.craigslist.org/?ID=334476958",0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=334476958
divorce,2,2,New child support question:,SignHere2208,2025/3/16 10:27,"reply to this post rate flag New child support question: < SignHere2208 > 2025-03-16 10:27 Got my filing. STBX is claiming he can't pay the state amount because of the kid he had with his GF. However, he is paying for extra kid voluntarily, there is not child support filing for extra kid. If I get mine in asap (which I plan to do) will that override his dispute for our kids? https://forums.craigslist.org/?ID=334209994",0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=334209994
divorce,2,3,The Judge will have a lot to consider. GL §,HereAgainOC,2025/3/17 17:16,reply to this post rate flag The Judge will have a lot to consider. GL § < HereAgainOC > 2025-03-17 17:16 https://forums.craigslist.org/?ID=334224409,1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334224409
divorce,2,4,That's pretty much noise,nobodyatdevnull,2025/3/18 23:53,"reply to this post rate flag That's pretty much noise < nobodyatdevnull > 2025-03-18 23:53 He will claim X, Y, and Z. The judge will pretty much go by the well defined tables they use for child support. The most important thing is that this is not something you want to be asking on the internet; talk to a lawyer. Every jurisdiction is different. You don't need to hire a lawyer for full representation, most will be more than happy to give you a legal opinion on this particular point for a few hundred dollars. If you think that's expensive just think the compounding cost of getting it wrong; the lawyer can tell you what to expect, what you should object, and how. https://forums.craigslist.org/?ID=334238286",1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334238286
divorce,2,5,Support,heavy-handed,16:04,"reply to this post rate flag Support < heavy-handed > 2025-04-28 16:04 Judges normally don't care about the second family or second kid in a matter involving the first. In the end a support order has to be followed, and it is set by state standards calculated off of income(s) & number of kids in that matter. I am a little confused by your last statement, as I don't see what could be overridden. https://forums.craigslist.org/?ID=334633326",1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633326
divorce,6,6,Fathers advice going into court the 1st time,KCMOBoards,2025/3/14 9:45,"reply to this post rate flag Fathers advice going into court the 1st time < KCMOBoards > 2025-03-14 09:45 FATHERS ADVICE Go to the Courthouse and FILL out your own child support worksheet where you get DIRECT EXPENSES. It'll show much LESS that you will be obligated for. Get Temporary orders for the mother to stay in the same place, town, school district that you currently live in so she does not move away with the kids. – This is very important. You will also want this in your final parenting plan. Also have it spelled out, that if the Mother moves out of the kids school district, that Father gets primary custody and Mother pays child support. If she breaks it, then take her back to court for primary custody. DO NOT give your kids mom any money directly, it can be counted as a gift and you may have to pay her again. Only pay through the court. Ask for the Child Support payment office address and send the money there with your case # on it. Including your COUNTY. DO NOT talk about any other sources of income other than your paycheck, nothing else. Freeze your credit report Close all your bank accounts and make new ones just for YOURSELF. If your Kids have bank accounts, empty them, close their accounts, and hide the money. Once divorce is completed, reopen your kids accounts with YOUR Name only. (My exwife cleaned out my kids bank accounts and closed them) Close all credit cards & reopen in your name only DO NOT GIVE HER ACCESS TO ANY FINANCIAL ACCOUNTS Whatever you do, DO NOT Give up DIRECT EXPENSES. You as the Father WANT DIRECT EXPENSES for your child. That way they can participate in clubs, camps, lessons, activities, sports, etc DEMAND that you get DIRECT EXPENSES, and 50/50 equal parenting Time. (THIS WILL CUT your Child support by almost 80%!!!!) Explanation of DIRECT EXPENSES: Direct expenses for a child shall include those fixed expenses paid directly to a third party, such as a school, church, recreational club, or sports club to allow participation in an activity or event, or to attend school. Direct expenses also include all necessary supplies and equipment purchased to support such activity. Direct expenses shall include: • All school and school-related expenses including school lunches. • Extracurricular activities. • Clothing. Do not accept any visitor or visitation status. You are NOT a visitor to your Child, you are their father and you have just as much right to them as your ex does. Parenting Plan - I recommend a 2 2 3 plan. You get every Monday and Tuesday and then every other weekend, she gets every Wednesday and Thursday and every other weekend. School Pick Up – ONLY pick up on your days, Make your ex do their part and pick up kids on their days. Daycare – Daycare expenses should be split 50 / 50. DO NOT PAY YOUR EX DIRECTLY FOR ANY DAYCARE COSTS. HOLIDAYS - Split Holidays, birthdays and ask that you get your child on your birthday and Veterans day the entire 24 hour period. On their birthday you and your ex split every other year. TAXES - Ask for and Demand that you split the tax deduction every other year, that way you both benefit from it. Communication APP – Demand that you use a court approved App for communication and exchange of Bills: OurFamilyWizard or Co-Parentor are the 2 Apps that I know. Anti-Family Courts recognize these Apps for Official documents and communications. Check dating websites, sugar daddy websites (seeking arrangements), see if your ex is earning income on the downlow (ebay, poshmark, mercari, Craigslist, Facebook), hell check Reddit too for areas in your City, County, State. She may be earning money on the side and hiding it from you. Subpoena your ex's workplace directly for a copy of her paystub. That way you have the employers copy and not one your ex provided and edited. AND above all, put your kids first in everything you do. Keep all conversations ONLY about your child(ren) with your ex. Download call recording software on your phone to record every phone call with her Buy and wear a body camera / Dash Camera / Cellphone and record every interaction with her. Check your City, County, State traffic, civil court and criminal court for any tickets or records she may have and get copies. Check her drivers license against the state Drivers License registration if you can to see if she's driving on a suspended license, expired tags or no insurance. If she is, she's putting your child in danger and they shouldn't be riding with her. And one last piece of advice, DO NOT GIVE HER ANY MONEY DIRECTLY. The state will see it as a gift and make you Pay again if they assign child support - Read up on Title IV D, you'll see that child support is a federal reimbursement program. Read up on the Bradley Amendment - What you owe for Child Support can NEVER BE FORGIVEN, even in Death. They will seize your estate, your money, everything to get their TITLE IV D Money, denying your children an inheritance. Fight for your rights and your kids rights, do not give in to their scare tactics. Good luck, hope it all works out https://forums.craigslist.org/?ID=334191226",0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=334191226
divorce,6,7,"Good, but 2 might cause more problems for you.",HereAgainOC,2025/3/15 15:49,"reply to this post rate flag Good, but 2 might cause more problems for you. < HereAgainOC > 2025-03-15 15:49 Glad our children are not so young. ""If your Kids have bank accounts, empty them, close their accounts, and hide the money""<-- Do not hide money. See if you can open accounts that your ex cannot touch, short of a court order, but keep the money in the the children's names. ""record every phone call .. and record every interaction""<-- State laws differ, so keep it legal. +5 if done right, but the judge will not accept an illegal recording except where it might benefit your ex. https://forums.craigslist.org/?ID=334204647",1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334204647
divorce,8,8,What is your view of gender differences?,HereagainOC,2025/3/13 17:48,"reply to this post rate flag What is your view of gender differences? < HereagainOC > 2025-03-13 17:48 I have always wanted to bring in more money than my gf/wife, but it does not bother me when she made more. On average, I think females make better parents, but every parent is different. Please consider this scenario: Sometimes I don't control my anger, but only when someone makes me mad. Never physical. She plays ""cat and mouse"" when we have problems to discuss. She has not worked in eight years. She asks: what about the recent year+ trying a new profession? It wasn't even half of my salary. She is so lazy, she needs to hear it. She refuses to take responsibility, and always blames me. I hate when she walks away. A real woman would not walk away from her man when he needs to speak to her. She always wants to cuddle and more. I cannot be close to her when she is like that. I am fine on my own, and don't need a woman. She claimed to be trying to get back to work, but was using me. She said that when unemployment ran out, she would take any job. Even Illegals can land jobs, but she can't because she does not want to work. When she refused to apply for easy jobs, and insisted on her prior field, I said she needed to leave, or would force us to. I have had enough of her BS. She can live with family. I was smart enough to have her quit-claim the deeds to me a few months earlier, when she asked for a separation. She refused to leave, even after our children asked her to. She has used cannabis and even ketamine, and blamed me for her depression, claiming I have NPD. She forced the children and I to move out, because we can't live in the same house anymore. I filed a DVRO so she would have no contact. The judge said the allegations look like typical divorces, and ordered no assaults. She is violent, and even damaged our home once. She tried fixing it, but I can still see it. I encourage her to connect with our children, but she is asking for half! She promised me much more so I could take care of them, and they refuse any contact with her. She has made offers for us to move back until the divorce is final, but I refuse. She can't even pay the mortgage, but is still living there rent-free. She can work, she is just lazy. The children are behind me 100%! I need the money to pay for their college. Can you believe her? Calling me a narcissist? https://forums.craigslist.org/?ID=334185759",0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=334185759
divorce,9,9,Looking for a top tier bulldog of a divorce lawy,John_dough11,2025/2/17 17:06,"reply to this post rate flag Looking for a top tier bulldog of a divorce lawy < John_dough11 > 2025-02-17 17:06 My ex has a lawyer that is great at playing games. My first 2 lawyers were always playing defense. I need a top tier lawyer that knows how to fight back. I'm trying to play fair, no more. I need an aggressive lawyer! Help https://forums.craigslist.org/?ID=333910824",0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=333910824
divorce,10,10,Divorce consideration_and Brokerage vs. 529B ?,westst,2025/2/14 10:19,"reply to this post rate flag Divorce consideration_and Brokerage vs. 529B ? < westst > 2025-02-14 10:19 Hi all, so will try to keep this as brief as possible but there a few factors. I have 2 brokerage accounts based off money I inherited over the past few years, totaling about 660K. I manage one that’s about 390K. I have another that is separate brokerage (more on that in a bit…) for $270K that my father-in-law manages. He is also a CFP. In my 7 months of managing my own account, I have managed about a 16% gain. In his time over 3+ years, that account has 10% gains. Now he is about to join his 3rd company in 3 years which will entail me signing documents, transferring account funds (again) to a new company and their brokerage. (He is in his late 70’s and apparently has willingly or fallen out of favor with hist last 2 companies). The 2nd thing I am l looking at is my almost-teenager’ish kids college funds: which I have admittedly done a poor job funding. Each of them only has $10k each in their 529B’s at present. I am basically treating one of the brokerage accounts as their college fund, so I am trying to do my best to grow those. 3rd, I'm mentioning that there is a least the possibility that I would be seeking a divorce from my wife in the next 2 years. If not then, I can see it when the kids start college. So, with these factors in mind - I’m wondering if I should just cash out the 270K that would be following him to his next company and put it in the kids’ 529 funds? Are there tax implications to this? This whole thing is really about my kids and to a lesser extent being able to land on my feet somewhat financially if I seek a divorce. Both brokerage accounts are in my name at least, and I have it at least “on record” that they are solely funded by inheritance on my side. Whether that would help in divorce proceedings in a mainly 50/50 state, I do not know… But my thinking is this: If I keep that part in brokerage with my FIL, than my wife potentially gets half of the $270k in divorce. She could then try to “double dip” a bit, trying to get me to fund half of our kids’ tuitions when she has already gained half of the brokerage proceeds. I’m thinking – if it’s in my kids’ 529B’s, she would not be able to touch it – and of course that’s great for them. But it may creep along at 5-8% gains in the 529, while I could potentially grow it more in a brokerage account. (Of course would have to pay capital gains if funds are cashed out 5-7 years from now). I should state also that my FIL is a wealthy guy, and he could probably fund my kids’ college tuitions If we wanted to. He’s probably even mentioned doing so. But there is somewhat constant turmoil on that side of the family, so there is no guarantee that if my wife and I were to split up – that he would provide the half that my wife would have to pony up for college. There is a history of divorce on their side of the family, so I could see them trying to fight a little dirty. As to any question of why he manages my funds at all? Well like I said, he is a CFP, and 3 years ago offered to do it. I naively agreed to do so, reluctantly. I have now come to realize that I’m probably better at this than him after educating myself on investing, and he often seems a bit slow to adjust to sector/market trends. I would state that he is not a shady person and is professional, and I doubt he would try to screw me in any way. He’s generally been good to me and my kids. So, with all those factors in mind (brokerage/college fund/at least possible divorce)…I would be greatly appreciate folks’ thoughts when factoring in these 3 factors. I realize as well that I could also just insist on taking the $270K away that he manages and put it in my own brokerage account to manage. I think really that this would start WWIII in my family, and I am not prepared logistically to start a divorce yet, so I don’t really need any precipitants right now :- Thanks for your thoughts. https://forums.craigslist.org/?ID=333878522",0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=333878522
