Category,thread_id,post_id,title,author,time,content,nesting_level,is_first_post,page_num,url
Politics,1,1,Finally another brave Democrat.,nightshade-berries,16:46,reply to this post rate flag Finally another brave Democrat. < nightshade-berries > 2025-04-28 16:46 Democrat Jonah Wheeler calls out woak abuse of women & children. https://forums.craigslist.org/?ID=334633667,0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=334633667
Politics,1,2,please be less stupid §,livecartoondog,16:46,reply to this post rate flag please be less stupid § < livecartoondog > 2025-04-28 16:46 https://forums.craigslist.org/?ID=334633681,1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633681
Politics,1,3,^just woak up §,bornagaingumby,16:47,reply to this post rate flag ^just woak up § < bornagaingumby > 2025-04-28 16:47 https://forums.craigslist.org/?ID=334633684,1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633684
Politics,4,4,US Navy loses $60 million jet as it fell over,Pizzaisavegetable,16:45,reply to this post rate flag US Navy loses $60 million jet as it fell over < Pizzaisavegetable > 2025-04-28 16:45 into the sea. Hegseth = Clown Show! https://forums.craigslist.org/?ID=334633660,0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=334633660
Politics,4,5,DOD running a tight russian ship §,bornagaingumby,16:46,reply to this post rate flag DOD running a tight russian ship § < bornagaingumby > 2025-04-28 16:46 https://forums.craigslist.org/?ID=334633675,1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633675
Politics,4,6,$70 million jet §,Breeder_2,16:47,reply to this post rate flag $70 million jet § < Breeder_2 > 2025-04-28 16:47 https://forums.craigslist.org/?ID=334633691,1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633691
Politics,4,7,trump doesnt know airplanes. They're attacking. §,Breeder_2,16:49,reply to this post rate flag trump doesnt know airplanes. They're attacking. § < Breeder_2 > 2025-04-28 16:49 https://forums.craigslist.org/?ID=334633702,2,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633702
Politics,8,8,Trump: ‘I run the country and the world’,Breeder_2,16:43,reply to this post rate flag Trump: ‘I run the country and the world’ < Breeder_2 > 2025-04-28 16:43 https://www.yahoo.com/news/trump-run-country-world-152835216.html https://forums.craigslist.org/?ID=334633648,0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=334633648
Politics,8,9,This is the end for trump. §,Breeder_2,16:43,reply to this post rate flag This is the end for trump. § < Breeder_2 > 2025-04-28 16:43 https://forums.craigslist.org/?ID=334633650,1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633650
Politics,8,10,"when the world fights for its freedom, I hope",livecartoondog,16:48,"reply to this post rate flag when the world fights for its freedom, I hope < livecartoondog > 2025-04-28 16:48 they target maralago. https://forums.craigslist.org/?ID=334633696",1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633696
Politics,11,11,Americans can’t save when Republicans impoverish,StTwinkie,16:42,reply to this post rate flag Americans can’t save when Republicans impoverish < StTwinkie > 2025-04-28 16:42 them. https://forums.craigslist.org/?ID=334633640,0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=334633640
Politics,11,12,"Example:  How can ""Republicans""",nightshade-berries,16:44,"reply to this post rate flag Example: How can ""Republicans"" < nightshade-berries > 2025-04-28 16:44 ""impoverish"" me? https://forums.craigslist.org/?ID=334633656",1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633656
Politics,11,13,Tariffs. §,StTwinkie,16:45,reply to this post rate flag Tariffs. § < StTwinkie > 2025-04-28 16:45 https://forums.craigslist.org/?ID=334633665,2,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633665
Politics,11,14,Stock market crashes. §,StTwinkie,16:46,reply to this post rate flag Stock market crashes. § < StTwinkie > 2025-04-28 16:46 https://forums.craigslist.org/?ID=334633671,3,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633671
Politics,15,15,"Finally...,another brave Congress member!",bonnie,16:39,"reply to this post rate flag Finally...,another brave Congress member! < bonnie > 2025-04-28 16:39 takes on Trump! https://www.commondreams.org/news/impeachment-trump-2025 https://forums.craigslist.org/?ID=334633620",0,TRUE,1,https://forums.craigslist.org/?act=Q&ID=334633620
Politics,15,16,Nixon got through 1st term into 2nd B4 forced 2,Rayslab,16:43,reply to this post rate flag Nixon got through 1st term into 2nd B4 forced 2 < Rayslab > 2025-04-28 16:43 RESIGN by Senate & Congress over the Plumbers Unit / Watergate scandal. https://forums.craigslist.org/?ID=334633651,1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633651
Politics,15,17,"Didn't have to resign, could have been impeached §",Breeder_2,16:45,"reply to this post rate flag Didn't have to resign, could have been impeached § < Breeder_2 > 2025-04-28 16:45 https://forums.craigslist.org/?ID=334633659",2,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633659
Politics,15,18,"That's good, but it would be more impressive",fourbugles,16:45,"reply to this post rate flag That's good, but it would be more impressive < fourbugles > 2025-04-28 16:45 if it was a republican. Nothing will happen until the republicans wake up and smell the coffee. That will happen when they finally figure out that continued support of donald will get them un-elected. It's clearly coming, I'm waiting each day to see it start to happen. https://forums.craigslist.org/?ID=334633661",1,FALSE,1,https://forums.craigslist.org/?act=Q&ID=334633661
